insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (1, 'Munmro', 'Castagne', 'mcastagne0@sun.com', 'Room 1004', '(837) 4338164', '68828-057');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (2, 'Kellie', 'Boerder', 'kboerder1@printfriendly.com', '14th Floor', '(214) 5981620', '53808-0271');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (3, 'Milt', 'Leehane', 'mleehane2@rediff.com', 'PO Box 10626', '(673) 5130531', '58232-0033');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (4, 'Sylvia', 'Basilone', 'sbasilone3@nydailynews.com', 'Room 625', '(907) 1986453', '36987-1676');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (5, 'Manya', 'Fitchett', 'mfitchett4@domainmarket.com', '3rd Floor', '(586) 3154268', '0178-0799');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (6, 'Corey', 'Cardus', 'ccardus5@harvard.edu', '8th Floor', '(335) 7565935', '0378-1140');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (7, 'Grata', 'Goldine', 'ggoldine6@dropbox.com', 'PO Box 77626', '(372) 4000397', '0597-0158');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (8, 'Vivyan', 'Duddell', 'vduddell7@acquirethisname.com', 'Suite 36', '(541) 1258510', '10702-036');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (9, 'Alexander', 'Feeney', 'afeeney8@parallels.com', 'PO Box 42494', '(926) 4255028', '64406-006');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (10, 'Babbette', 'L''Homme', 'blhomme9@japanpost.jp', 'PO Box 84123', '(265) 5013320', '68745-1126');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (11, 'Melesa', 'Holleworth', 'mhollewortha@earthlink.net', 'PO Box 91763', '(895) 9455421', '0517-1355');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (12, 'Laughton', 'Vanyutin', 'lvanyutinb@yellowpages.com', 'Apt 111', '(666) 8793405', '54868-4767');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (13, 'Paten', 'Kerfut', 'pkerfutc@artisteer.com', 'PO Box 75034', '(453) 6578390', '61084-126');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (14, 'Ernst', 'Hatch', 'ehatchd@marketwatch.com', 'Room 1291', '(850) 9172947', '0378-0374');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (15, 'Lucy', 'Lehrer', 'llehrere@addtoany.com', 'Room 678', '(660) 2818798', '11673-486');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (16, 'Iolanthe', 'Moyles', 'imoylesf@marriott.com', 'Room 491', '(978) 9910407', '65862-040');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (17, 'Jeniece', 'Dincke', 'jdinckeg@altervista.org', 'Suite 33', '(703) 7632982', '52584-019');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (18, 'Arlinda', 'Joney', 'ajoneyh@usda.gov', 'Suite 63', '(440) 7150222', '66949-996');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (19, 'Angie', 'Goaley', 'agoaleyi@mapquest.com', 'Apt 1114', '(824) 5637281', '63049-103');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (20, 'Mandi', 'Umney', 'mumneyj@wunderground.com', 'Room 783', '(874) 6992326', '49288-0474');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (21, 'Dee dee', 'Powney', 'dpowneyk@booking.com', 'Room 1994', '(355) 9165430', '47335-586');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (22, 'Venita', 'Tomlett', 'vtomlettl@gravatar.com', 'Suite 65', '(567) 2409972', '57520-1002');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (23, 'Donni', 'Mines', 'dminesm@bandcamp.com', 'PO Box 22125', '(486) 9299038', '62011-0232');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (24, 'Loise', 'Marchment', 'lmarchmentn@cbslocal.com', 'Apt 1195', '(508) 5528416', '76282-210');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (25, 'Trstram', 'Fust', 'tfusto@sakura.ne.jp', '8th Floor', '(380) 4618182', '65862-527');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (26, 'Peri', 'Cockran', 'pcockranp@icq.com', '20th Floor', '(949) 3799608', '57520-0957');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (27, 'Kally', 'Cannicott', 'kcannicottq@liveinternet.ru', 'Room 768', '(572) 7023008', '36987-1152');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (28, 'Carena', 'MacKenny', 'cmackennyr@canalblog.com', 'PO Box 69893', '(834) 7503259', '0603-1880');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (29, 'Prissie', 'Theunissen', 'ptheunissens@wordpress.com', 'Suite 69', '(992) 8604932', '59779-391');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (30, 'Ches', 'Londsdale', 'clondsdalet@patch.com', 'Room 1768', '(755) 8304474', '55714-2214');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (31, 'Kitti', 'Winthrop', 'kwinthropu@google.co.jp', 'Apt 355', '(125) 1862841', '51346-060');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (32, 'Sigismundo', 'Dancer', 'sdancerv@joomla.org', '16th Floor', '(154) 9986202', '0395-2325');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (33, 'Enoch', 'Sacchetti', 'esacchettiw@lycos.com', 'Suite 90', '(334) 5190744', '49349-428');
insert into TablaClientes (Id_cliente, Nombre, Apellido, Email, Direccion, Telefono, Compra) values (34, 'Troy', 'Czadla', 'tczadlax@examiner.com', 'Room 299', '(135) 9761361', '47124-326');
